Player ID,Player name,Opponent Team,Mat,Inns,NNO,Runs,HS,Not Out,Avg,BF,SR,100s,50s,0s,4s,6s
9428,Shreyas Iyer,New Zealand,13,11.0,2.0,225.0,58.0,1,25.0,181.0,124.3,0.0,1.0,1.0,14.0,10.0
9428,Shreyas Iyer,South Africa,8,8.0,2.0,116.0,40.0,0,19.33,102.0,113.72,0.0,0.0,0.0,6.0,7.0
9428,Shreyas Iyer,Sri Lanka,9,8.0,3.0,296.0,74.0,1,59.2,198.0,149.49,0.0,3.0,1.0,28.0,9.0
9428,Shreyas Iyer,West Indies,8,8.0,1.0,137.0,64.0,0,19.57,115.0,119.13,0.0,1.0,1.0,15.0,3.0
11808,Shubman Gill,Afghanistan,1,1.0,0.0,23.0,23.0,0,23.0,12.0,191.66,0.0,0.0,0.0,5.0,0.0
11808,Shubman Gill,New Zealand,3,3.0,1.0,144.0,126.0,1,72.0,78.0,184.61,1.0,0.0,0.0,15.0,7.0
11808,Shubman Gill,South Africa,2,2.0,0.0,8.0,8.0,0,4.0,8.0,100.0,0.0,0.0,1.0,2.0,0.0
11808,Shubman Gill,Sri Lanka,5,5.0,0.0,131.0,46.0,0,26.2,97.0,135.05,0.0,0.0,0.0,13.0,4.0
11808,Shubman Gill,West Indies,5,5.0,0.0,102.0,77.0,0,20.4,85.0,120.0,0.0,1.0,0.0,5.0,6.0
11808,Shubman Gill,Zimbabwe,5,5.0,1.0,170.0,66.0,0,42.5,135.0,125.92,0.0,2.0,0.0,20.0,5.0
7915,Suryakumar Yadav,Afghanistan,3,2.0,0.0,59.0,53.0,0,29.5,30.0,196.66,0.0,1.0,0.0,5.0,4.0
7915,Suryakumar Yadav,Australia,9,9.0,0.0,290.0,80.0,0,32.22,168.0,172.61,0.0,2.0,1.0,24.0,19.0
7915,Suryakumar Yadav,Bangladesh,2,2.0,0.0,36.0,30.0,0,18.0,18.0,200.0,0.0,0.0,0.0,4.0,1.0
