Player ID,Player Name,Overs Bowled,Balls_Bowled,Maidens,Runs Conceded,Wickets,Economy Rate,Dot Ball %,Boundary %,Extras Given,Wickets Per Over,Bowling Strike Rate,Bowling Average,Match Number
8292,Kuldeep Yadav,1.0,6.0,0.0,12.0,0.0,12.0,16.67,16.67,0.0,0.0,0.0,0.0,1992
13217,Arshdeep Singh,4.0,28.0,0.0,31.0,2.0,7.75,57.14,14.29,4.0,0.75,14.0,15.5,2188
10754,Mukesh Kumar,3.0,19.0,0.0,24.0,0.0,8.0,15.79,10.53,1.0,0.0,0.0,0.0,2188
8808,Axar Patel,2.0,12.0,0.0,22.0,0.0,11.0,33.33,25.0,0.0,0.0,0.0,0.0,2188
7910,Yuzvendra Chahal,3.0,18.0,0.0,24.0,2.0,8.0,38.89,16.67,0.0,0.87,9.0,12.0,2188
9647,Hardik Pandya,4.0,25.0,0.0,27.0,1.0,6.75,48.0,12.0,1.0,0.36,25.0,27.0,2188
8292,Kuldeep Yadav,4.0,25.0,0.0,21.0,1.0,5.25,44.0,4.0,1.0,0.36,25.0,21.0,2188
9647,Hardik Pandya,4.0,24.0,0.0,35.0,3.0,8.75,41.67,20.83,0.0,0.98,8.0,11.67,2191
13217,Arshdeep Singh,4.0,24.0,0.0,34.0,1.0,8.5,29.17,16.67,0.0,0.3,24.0,34.0,2191
10754,Mukesh Kumar,3.5,23.0,0.0,36.0,1.0,10.29,34.78,21.74,0.0,0.35,23.0,36.0,2191
14659,Ravi Bishnoi,4.0,24.0,0.0,31.0,0.0,7.75,50.0,20.83,0.0,0.0,0.0,0.0,2191
7910,Yuzvendra Chahal,3.0,19.0,0.0,19.0,3.0,6.33,42.11,5.26,1.0,1.39,6.33,6.33,2191
9647,Hardik Pandya,3.0,18.0,0.0,19.0,0.0,6.33,38.89,11.11,0.0,0.0,0.0,0.0,2192
13217,Arshdeep Singh,3.0,21.0,0.0,33.0,0.0,11.0,42.86,19.05,3.0,0.0,0.0,0.0,2192
8808,Axar Patel,4.0,25.0,0.0,24.0,1.0,6.0,56.0,16.0,1.0,0.37,25.0,24.0,2192
7910,Yuzvendra Chahal,4.0,24.0,0.0,35.0,0.0,8.75,37.5,16.67,0.0,0.0,0.0,0.0,2192
8292,Kuldeep Yadav,4.0,24.0,0.0,29.0,3.0,7.25,50.0,16.67,0.0,1.06,8.0,9.67,2192
10754,Mukesh Kumar,2.0,13.0,0.0,19.0,1.0,9.5,38.46,15.38,1.0,0.65,13.0,19.0,2192
8808,Axar Patel,4.0,24.0,0.0,39.0,1.0,9.75,33.33,20.83,0.0,0.31,24.0,39.0,2193
13217,Arshdeep Singh,4.0,25.0,0.0,38.0,3.0,9.5,44.0,20.0,1.0,1.01,8.33,12.67,2193
7910,Yuzvendra Chahal,4.0,24.0,0.0,36.0,1.0,9.0,20.83,16.67,0.0,0.28,24.0,36.0,2193
8292,Kuldeep Yadav,4.0,25.0,0.0,26.0,2.0,6.5,44.0,8.0,1.0,0.7,12.5,13.0,2193
9647,Hardik Pandya,1.0,6.0,0.0,14.0,0.0,14.0,16.67,33.33,0.0,0.0,0.0,0.0,2193
10754,Mukesh Kumar,3.0,19.0,0.0,25.0,1.0,8.33,21.05,10.53,1.0,0.39,19.0,25.0,2193
9647,Hardik Pandya,3.0,18.0,0.0,34.0,0.0,11.33,44.44,27.78,0.0,0.0,0.0,0.0,2194
13217,Arshdeep Singh,2.0,12.0,0.0,20.0,1.0,10.0,50.0,25.0,0.0,0.69,12.0,20.0,2194
8292,Kuldeep Yadav,4.0,26.0,0.0,20.0,0.0,5.0,53.85,3.85,2.0,0.0,0.0,0.0,2194
7910,Yuzvendra Chahal,4.0,24.0,0.0,51.0,0.0,12.75,16.67,25.0,0.0,0.0,0.0,0.0,2194
10754,Mukesh Kumar,1.0,7.0,0.0,10.0,0.0,10.0,14.29,14.29,1.0,0.0,0.0,0.0,2194
14504,Tilak Verma,2.0,12.0,0.0,17.0,1.0,8.5,41.67,16.67,0.0,0.67,12.0,17.0,2194
8808,Axar Patel,1.0,6.0,0.0,8.0,0.0,8.0,50.0,16.67,0.0,0.0,0.0,0.0,2194
13940,Yashasvi Jaiswal,1.0,6.0,0.0,11.0,0.0,11.0,16.67,16.67,0.0,0.0,0.0,0.0,2194
9311,Jasprit Bumrah,4.0,25.0,0.0,24.0,2.0,6.0,68.0,16.0,1.0,0.8,12.5,12.0,2200
13217,Arshdeep Singh,4.0,28.0,0.0,35.0,1.0,8.75,53.57,14.29,4.0,0.37,28.0,35.0,2200
14659,Ravi Bishnoi,4.0,25.0,0.0,23.0,2.0,5.75,48.0,8.0,1.0,0.72,12.5,11.5,2200
11195,Shivam Dubey,1.0,6.0,0.0,6.0,0.0,6.0,50.0,16.67,0.0,0.0,0.0,0.0,2200
10945,Washington Sundar,3.0,18.0,0.0,19.0,0.0,6.33,22.22,5.56,0.0,0.0,0.0,0.0,2200
9311,Jasprit Bumrah,3.2,25.0,0.0,20.0,2.0,6.25,68.0,0.0,5.0,1.05,12.5,10.0,2208
13217,Arshdeep Singh,4.0,25.0,0.0,29.0,1.0,7.25,56.0,16.0,1.0,0.37,25.0,29.0,2208
14659,Ravi Bishnoi,3.5,25.0,0.0,37.0,2.0,10.57,32.0,16.0,2.0,0.71,12.5,18.5,2208
10945,Washington Sundar,2.0,14.0,0.0,19.0,0.0,9.5,28.57,14.29,2.0,0.0,0.0,0.0,2208
11195,Shivam Dubey,2.0,12.0,0.0,18.0,0.0,9.0,41.67,16.67,0.0,0.0,0.0,0.0,2208
10808,Mohammed Siraj,3.0,18.0,0.0,31.0,1.0,10.33,38.89,27.78,0.0,0.42,18.0,31.0,2396
13217,Arshdeep Singh,2.0,13.0,0.0,35.0,0.0,17.5,30.77,38.46,1.0,0.0,0.0,0.0,2396
